X [mm],Y [mm],Z [mm],X/D [-],Y/D [-],Z/D [-],U/U_hub [-]
10416,-540,300,1,-1.298076923,0,1.000329182
10416,-540,300,1,-1.298076923,0,0.999901673
10416,-520,300,1,-1.25,0,0.997678624
10416,-500,300,1,-1.201923077,0,0.996951858
10416,-480,300,1,-1.153846154,0,0.997165613
10416,-480,300,1,-1.153846154,0,0.999516914
10416,-460,300,1,-1.105769231,0,0.999003903
10416,-440,300,1,-1.057692308,0,0.999559665
10416,-420,300,1,-1.009615385,0,0.99840539
10416,-420,300,1,-1.009615385,0,1.002594982
10416,-400,300,1,-0.961538462,0,1.002381227
10416,-380,300,1,-0.913461538,0,1.003963012
10416,-360,300,1,-0.865384615,0,1.001184201
10416,-360,300,1,-0.865384615,0,1.000628439
10416,-340,300,1,-0.817307692,0,1.001184201
10416,-320,300,1,-0.769230769,0,1.003621004
10416,-300,300,1,-0.721153846,0,1.000371933
10416,-300,300,1,-0.721153846,0,1.003621004
10416,-280,300,1,-0.673076923,0,1.002765986
10416,-260,300,1,-0.625,0,0.973738099
10416,-240,300,1,-0.576923077,0,0.908329165
10416,-240,300,1,-0.576923077,0,0.893366337
10416,-220,300,1,-0.528846154,0,0.783068919
10416,-210,300,1,-0.504807692,0,0.727791957
10416,-200,300,1,-0.480769231,0,0.671788229
10416,-180,300,1,-0.432692308,0,0.598128364
10416,-180,300,1,-0.432692308,0,0.602788216
10416,-160,300,1,-0.384615385,0,0.573033564
10416,-140,300,1,-0.336538462,0,0.553624638
10416,-120,300,1,-0.288461538,0,0.543364413
10416,-120,300,1,-0.288461538,0,0.544689692
10416,-100,300,1,-0.240384615,0,0.539687833
10416,-80,300,1,-0.192307692,0,0.542723149
10416,-60,300,1,-0.144230769,0,0.571879288
10416,-60,300,1,-0.144230769,0,0.580001967
10416,-40,300,1,-0.096153846,0,0.650455511
10416,-20,300,1,-0.048076923,0,0.75211724
10416,0,300,1,0,0,0.807052195
10416,20,300,1,0.048076923,0,0.793585649
10416,40,300,1,0.096153846,0,0.71560794
10416,60,300,1,0.144230769,0,0.638228743
10416,60,300,1,0.144230769,0,0.627327254
10416,80,300,1,0.192307692,0,0.58838115
10416,100,300,1,0.240384615,0,0.571366277
10416,120,300,1,0.288461538,0,0.568330961
10416,120,300,1,0.288461538,0,0.566150663
10416,140,300,1,0.336538462,0,0.574914605
10416,160,300,1,0.384615385,0,0.583977804
10416,180,300,1,0.432692308,0,0.615356992
10416,180,300,1,0.432692308,0,0.625360711
10416,200,300,1,0.480769231,0,0.691325407
10416,210,300,1,0.504807692,0,0.743695306
10416,220,300,1,0.528846154,0,0.814234352
10416,240,300,1,0.576923077,0,0.92453177
10416,240,300,1,0.576923077,0,0.932055935
10416,260,300,1,0.625,0,0.981347766
10416,280,300,1,0.673076923,0,0.997593122
10416,300,300,1,0.721153846,0,1.003022491
10416,300,300,1,0.721153846,0,1.007639592
10416,320,300,1,0.769230769,0,0.99750762
10416,340,300,1,0.817307692,0,1.000329182
10416,360,300,1,0.865384615,0,0.99703736
10416,360,300,1,0.865384615,0,0.997165613
10416,380,300,1,0.913461538,0,0.992163753
10416,400,300,1,0.961538462,0,0.993360779
10416,420,300,1,1.009615385,0,0.990239961
10416,420,300,1,1.009615385,0,0.991949999
10416,440,300,1,1.057692308,0,0.98929944
10416,460,300,1,1.105769231,0,0.986477879
10416,480,300,1,1.153846154,0,0.982331038
10416,480,300,1,1.153846154,0,0.984896094
10416,500,300,1,1.201923077,0,0.986520629
10416,520,300,1,1.25,0,0.982758547
10416,540,300,1,1.298076923,0,0.981604272
10416,540,300,1,1.298076923,0,0.984169328
10832,-540,300,2,-1.298076923,0,0.999343815
10832,-540,300,2,-1.298076923,0,1.003531311
10832,-520,300,2,-1.25,0,1.004783243
10832,-500,300,2,-1.201923077,0,1.00279742
10832,-480,300,2,-1.153846154,0,1.00240889
10832,-480,300,2,-1.153846154,0,1.003531311
10832,-460,300,2,-1.105769231,0,1.00922976
10832,-440,300,2,-1.057692308,0,1.002279379
10832,-420,300,2,-1.009615385,0,1.007373447
10832,-420,300,2,-1.009615385,0,1.002106699
10832,-400,300,2,-0.961538462,0,0.998221393
10832,-380,300,2,-0.913461538,0,0.999084795
10832,-360,300,2,-0.865384615,0,1.004135692
10832,-360,300,2,-0.865384615,0,1.00240889
10832,-340,300,2,-0.817307692,0,1.00288376
10832,-320,300,2,-0.769230769,0,0.997876033
10832,-300,300,2,-0.721153846,0,0.984665993
10832,-300,300,2,-0.721153846,0,0.984320633
10832,-280,300,2,-0.673076923,0,0.963080961
10832,-260,300,2,-0.625,0,0.916025591
10832,-240,300,2,-0.576923077,0,0.855155801
10832,-240,300,2,-0.576923077,0,0.859127447
10832,-220,300,2,-0.528846154,0,0.79407016
10832,-210,300,2,-0.504807692,0,0.755303442
10832,-200,300,2,-0.480769231,0,0.722235173
10832,-180,300,2,-0.432692308,0,0.639823521
10832,-180,300,2,-0.432692308,0,0.649838976
10832,-160,300,2,-0.384615385,0,0.595056164
10832,-140,300,2,-0.336538462,0,0.555469215
10832,-120,300,2,-0.288461538,0,0.537294618
10832,-120,300,2,-0.288461538,0,0.538935081
10832,-100,300,2,-0.240384615,0,0.548518835
10832,-80,300,2,-0.192307692,0,0.574809404
10832,-60,300,2,-0.144230769,0,0.607143782
10832,-60,300,2,-0.144230769,0,0.597862218
10832,-40,300,2,-0.096153846,0,0.640643752
10832,-20,300,2,-0.048076923,0,0.661883424
10832,0,300,2,0,0,0.675352484
10832,20,300,2,0.048076923,0,0.66615726
10832,40,300,2,0.096153846,0,0.647507792
10832,60,300,2,0.144230769,0,0.617418257
10832,60,300,2,0.144230769,0,0.61910189
10832,80,300,2,0.192307692,0,0.590091607
10832,100,300,2,0.240384615,0,0.579601281
10832,120,300,2,0.288461538,0,0.582364165
10832,120,300,2,0.288461538,0,0.581155404
10832,140,300,2,0.336538462,0,0.609129605
10832,160,300,2,0.384615385,0,0.645565139
10832,180,300,2,0.432692308,0,0.704751297
10832,180,300,2,0.432692308,0,0.683338945
10832,200,300,2,0.480769231,0,0.765059877
10832,210,300,2,0.504807692,0,0.803999275
10832,220,300,2,0.528846154,0,0.832577857
10832,240,300,2,0.576923077,0,0.890209893
10832,240,300,2,0.576923077,0,0.871085554
10832,260,300,2,0.625,0,0.943222732
10832,280,300,2,0.673076923,0,0.969858661
10832,300,300,2,0.721153846,0,0.992177584
10832,300,300,2,0.721153846,0,0.98233481
10832,320,300,2,0.769230769,0,1.000466237
10832,340,300,2,0.817307692,0,1.005214944
10832,360,300,2,0.865384615,0,0.998048713
10832,360,300,2,0.865384615,0,1.003660821
10832,380,300,2,0.913461538,0,1.00275425
10832,400,300,2,0.961538462,0,0.998739434
10832,420,300,2,1.009615385,0,0.998307733
